Date,Item Purchased,Brand,Category,Quantity,Unit Price,Total Amount,Cost
2018-01-01,Gin,Tanqueray,Spirits,3,22.59,67.77,41.81
2018-01-01,Craft Beer,Sierra Nevada,Beer,1,20.49,20.49,12.16
2018-01-01,Cigarettes,Marlboro,Smoking Products,5,10.99,54.95,32.74
2018-01-01,Whiskey,Jack Daniel's,Spirits,3,30.99,92.97,54.9
2018-01-01,Cigarettes,Marlboro,Smoking Products,1,10.99,10.99,6.69
2018-01-01,Craft Beer,Sierra Nevada,Beer,5,20.49,102.45,60.87
2018-01-01,Beer Pack,Budweiser,Beer,5,18.49,92.45,55.69
2018-01-01,Whiskey,Jack Daniel's,Spirits,4,30.99,123.96,74.49
2018-01-01,Whiskey,Jack Daniel's,Spirits,1,30.99,30.99,18.79
2018-01-01,Craft Beer,Sierra Nevada,Beer,2,20.49,40.98,24.32
2018-01-01,White Wine,Barefoot,Wine,1,15.99,15.99,9.46
2018-01-01,White Wine,Barefoot,Wine,5,15.99,79.95,47.56
2018-01-01,Rum,Bacardi,Spirits,3,28.79,86.37,50.34
2018-01-01,Rum,Bacardi,Spirits,3,28.79,86.37,51.64
2018-01-01,Rum,Bacardi,Spirits,2,28.79,57.58,35.55
2018-01-01,Vodka,Smirnoff,Spirits,2,25.79,51.58,31.02
2018-01-01,Cigars,Cohiba,Smoking Products,3,15.49,46.47,28.39
2018-01-02,Vodka,Smirnoff,Spirits,1,25.79,25.79,15.0
2018-01-02,Vodka,Smirnoff,Spirits,3,25.79,77.37,46.91
2018-01-02,White Wine,Barefoot,Wine,5,15.99,79.95,47.42
2018-01-02,White Wine,Barefoot,Wine,3,15.99,47.97,28.93
2018-01-02,Champagne,Moët & Chandon,Wine,4,45.99,183.96,109.56
2018-01-02,Vodka,Smirnoff,Spirits,2,25.79,51.58,30.34
2018-01-02,Cigarettes,Marlboro,Smoking Products,5,10.99,54.95,32.32
2018-01-02,White Wine,Barefoot,Wine,3,15.99,47.97,28.79
2018-01-02,Red Wine,Robert Mondavi,Wine,5,12.99,64.95,38.06
2018-01-02,Champagne,Moët & Chandon,Wine,2,45.99,91.98,55.89
2018-01-02,Beer Pack,Budweiser,Beer,3,18.49,55.47,33.76
2018-01-02,Cigars,Cohiba,Smoking Products,2,15.49,30.98,19.08
2018-01-02,Whiskey,Jack Daniel's,Spirits,1,30.99,30.99,18.29
2018-01-02,Champagne,Moët & Chandon,Wine,2,45.99,91.98,55.87
2018-01-02,White Wine,Barefoot,Wine,1,15.99,15.99,9.83
2018-01-02,Craft Beer,Sierra Nevada,Beer,1,20.49,20.49,11.94
2018-01-02,Craft Beer,Sierra Nevada,Beer,2,20.49,40.98,24.92
