Report_Type,Item,Category,Month,Recommended_Quantity,Total_Investment,Expected_Revenue,Expected_Profit,Profit_Margin_%,Notes
SUMMARY,ALL_ITEMS,ALL_CATEGORIES,ANNUAL_2023,21057,329243.14999999997,458135.4800000001,183222.99,39.99318935088807,Summary of 2023 stocking plan
MONTHLY_DETAIL,Champagne,Wine,Jan,214,5907.92,8232.21,3290.54,39.97,"Seasonality: 1.06, Growth: 0.94"
MONTHLY_DETAIL,Whiskey,Spirits,Jan,219,4071.66,5671.17,2268.83,40.01,"Seasonality: 1.06, Growth: 0.94"
MONTHLY_DETAIL,Rum,Spirits,Jan,241,4163.0,5786.79,2314.74,40.0,"Seasonality: 0.99, Growth: 1.01"
MONTHLY_DETAIL,Vodka,Spirits,Jan,247,3822.46,5312.74,2124.78,39.99,"Seasonality: 0.98, Growth: 1.05"
MONTHLY_DETAIL,Gin,Spirits,Jan,202,2737.45,3817.71,1527.47,40.01,"Seasonality: 1.00, Growth: 0.92"
MONTHLY_DETAIL,Craft Beer,Beer,Jan,244,2999.29,4179.96,1672.35,40.01,"Seasonality: 1.01, Growth: 1.05"
MONTHLY_DETAIL,Beer Pack,Beer,Jan,193,2141.98,2976.89,1190.06,39.98,"Seasonality: 1.01, Growth: 0.92"
MONTHLY_DETAIL,White Wine,Wine,Jan,208,1996.11,2782.26,1112.43,39.98,"Seasonality: 0.97, Growth: 0.95"
MONTHLY_DETAIL,Champagne,Wine,Feb,210,5797.49,8048.25,3217.01,39.97,"Seasonality: 1.03, Growth: 0.94"
MONTHLY_DETAIL,Whiskey,Spirits,Feb,212,3941.51,5485.23,2194.44,40.01,"Seasonality: 1.02, Growth: 0.94"
MONTHLY_DETAIL,Rum,Spirits,Feb,237,4093.91,5700.42,2280.19,40.0,"Seasonality: 0.97, Growth: 1.01"
MONTHLY_DETAIL,Vodka,Spirits,Feb,259,4008.17,5570.64,2227.92,39.99,"Seasonality: 1.03, Growth: 1.05"
MONTHLY_DETAIL,Gin,Spirits,Feb,200,2710.35,3772.53,1509.39,40.01,"Seasonality: 0.98, Growth: 0.92"
MONTHLY_DETAIL,Craft Beer,Beer,Feb,248,3048.46,4241.43,1696.95,40.01,"Seasonality: 1.02, Growth: 1.05"
MONTHLY_DETAIL,Beer Pack,Beer,Feb,192,2130.88,2958.4,1182.66,39.98,"Seasonality: 1.01, Growth: 0.92"
MONTHLY_DETAIL,White Wine,Wine,Feb,213,2044.1,2846.22,1138.01,39.98,"Seasonality: 0.99, Growth: 0.95"
MONTHLY_DETAIL,Champagne,Wine,Mar,201,5549.03,7726.32,3088.33,39.97,"Seasonality: 0.99, Growth: 0.94"
MONTHLY_DETAIL,Whiskey,Spirits,Mar,200,3718.41,5175.33,2070.46,40.01,"Seasonality: 0.97, Growth: 0.94"
MONTHLY_DETAIL,Rum,Spirits,Mar,248,4283.92,5959.53,2383.84,40.0,"Seasonality: 1.02, Growth: 1.01"
MONTHLY_DETAIL,Vodka,Spirits,Mar,254,3930.79,5467.48,2186.66,39.99,"Seasonality: 1.01, Growth: 1.05"
MONTHLY_DETAIL,Gin,Spirits,Mar,216,2927.17,4066.2,1626.89,40.01,"Seasonality: 1.06, Growth: 0.92"
MONTHLY_DETAIL,Craft Beer,Beer,Mar,240,2950.13,4098.0,1639.56,40.01,"Seasonality: 0.99, Growth: 1.05"
MONTHLY_DETAIL,Beer Pack,Beer,Mar,194,2153.08,2995.38,1197.45,39.98,"Seasonality: 1.02, Growth: 0.92"
MONTHLY_DETAIL,White Wine,Wine,Mar,214,2053.69,2862.21,1144.4,39.98,"Seasonality: 0.99, Growth: 0.95"
MONTHLY_DETAIL,Champagne,Wine,Apr,192,5300.56,7358.4,2941.26,39.97,"Seasonality: 0.95, Growth: 0.94"
MONTHLY_DETAIL,Whiskey,Spirits,Apr,213,3960.1,5516.22,2206.84,40.01,"Seasonality: 1.03, Growth: 0.94"
MONTHLY_DETAIL,Rum,Spirits,Apr,238,4111.18,5729.21,2291.71,40.0,"Seasonality: 0.98, Growth: 1.01"
MONTHLY_DETAIL,Vodka,Spirits,Apr,260,4023.64,5596.43,2238.24,39.99,"Seasonality: 1.04, Growth: 1.05"
MONTHLY_DETAIL,Gin,Spirits,Apr,199,2696.79,3749.94,1500.35,40.01,"Seasonality: 0.98, Growth: 0.92"
MONTHLY_DETAIL,Craft Beer,Beer,Apr,242,2974.71,4138.98,1655.96,40.01,"Seasonality: 1.00, Growth: 1.05"
